Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda,0.69,19,-2.18,2.87
CA-003,Alpine,1.46,17,-3.64,5.1
CA-005,Amador,1.53,17,-4.08,5.61
CA-007,Butte,1.71,14,-4.62,6.33
CA-009,Calaveras,1.31,17,-4.27,5.58
CA-011,Colusa,0.84,18,-2.2,3.04
CA-013,Contra Costa,0.67,17,-2.09,2.76
CA-015,Del Norte,4.57,17,-5.47,10.04
CA-017,El Dorado,1.5,11,-5.25,6.75
CA-019,Fresno,1.17,23,-2.01,3.18
CA-021,Glenn,0.98,20,-2.54,3.52
CA-023,Humboldt,2.62,10,-5.44,8.06
CA-025,Imperial,0.05,29,-0.32,0.37
CA-027,Inyo,0.15,21,-0.69,0.84
CA-029,Kern,0.98,57,-0.6,1.58
CA-031,Kings,1.02,63,-0.34,1.36
CA-033,Lake,1.28,12,-4.6,5.88
CA-035,Lassen,0.66,11,-1.78,2.44
CA-037,Los Angeles,1.3,48,-1.51,2.81
CA-039,Madera,0.9,15,-2.94,3.84
CA-041,Marin,1.03,13,-3.8,4.83
CA-043,Mariposa,1.08,15,-4.24,5.32
CA-045,Mendocino,1.5,8,-5.53,7.03
CA-047,Merced,0.73,30,-1.16,1.89
CA-049,Modoc,0.71,9,-1.32,2.03
CA-051,Mono,0.51,15,-1.53,2.04
CA-053,Monterey,1.44,35,-1.86,3.3
CA-055,Napa,0.95,14,-3.37,4.32
CA-057,Nevada,1.42,8,-5.99,7.41
CA-059,Orange,1.1,46,-1.32,2.42
CA-061,Placer,1.54,10,-5.24,6.78
CA-063,Plumas,1.01,7,-4.66,5.67
CA-065,Riverside,0.3,21,-1.01,1.31
CA-067,Sacramento,1.14,24,-1.67,2.81
CA-069,San Benito,1.14,33,-1.67,2.81
CA-071,San Bernardino,0.12,17,-0.84,0.96
CA-073,San Diego,1.61,62,-0.91,2.52
CA-075,San Francisco,0.65,16,-2.83,3.48
CA-077,San Joaquin,0.77,22,-1.43,2.2
CA-079,San Luis Obispo,1.28,41,-1.62,2.9
CA-081,San Mateo,0.95,17,-3.38,4.33
CA-083,Santa Barbara,1.59,47,-1.77,3.36
CA-085,Santa Clara,0.9,18,-2.81,3.71
CA-087,Santa Cruz,1.31,17,-3.72,5.03
CA-089,Shasta,0.97,5,-4.55,5.52
CA-091,Sierra,1.06,6,-5.41,6.47
CA-093,Siskiyou,1.75,16,-2.9,4.65
CA-095,Solano,0.73,17,-2.11,2.84
CA-097,Sonoma,1.29,11,-4.43,5.72
CA-099,Stanislaus,0.67,20,-1.59,2.26
CA-101,Sutter,0.92,21,-1.75,2.67
CA-103,Tehama,1.09,9,-3.92,5.01
CA-105,Trinity,1.58,7,-5.83,7.41
CA-107,Tulare,1.38,28,-2.3,3.68
CA-109,Tuolumne,1.26,12,-5.08,6.34
CA-111,Ventura,1.99,49,-1.77,3.76
CA-113,Yolo,0.94,22,-1.9,2.84
CA-115,Yuba,1.34,13,-4.18,5.52
