direction,strength,frequency
N,2-4,1.8
N,4-6,1.6
N,6-8,0.4
N,8-10,0.4
N,10-12,0.3
N,12-14,0.1
N,14-16,0.1
N,16+,0.3
NNE,2-4,0.5
NNE,4-6,0.4
NNE,6-8,0.1
NNE,8-10,0.1
NNE,10-12,0
NNE,12-14,0.1
NNE,14-16,0.1
NNE,16+,0.8
NE,2-4,0.4
NE,4-6,0.1
NE,6-8,0
NE,8-10,0.1
NE,10-12,0.1
NE,12-14,0.1
NE,14-16,0.1
NE,16+,0.3
ENE,2-4,0.4
ENE,4-6,0.3
ENE,6-8,0.1
ENE,8-10,0
ENE,10-12,0
ENE,12-14,0.1
ENE,14-16,0
ENE,16+,0.1
E,2-4,1.1
E,4-6,1.4
E,6-8,0.4
E,8-10,0.5
E,10-12,0.1
E,12-14,0
E,14-16,0
E,16+,0
ESE,2-4,0.4
ESE,4-6,2.3
ESE,6-8,0.8
ESE,8-10,1.6
ESE,10-12,0.5
ESE,12-14,0.1
ESE,14-16,0
ESE,16+,0.1
SE,2-4,0.9
SE,4-6,2.2
SE,6-8,1.9
SE,8-10,1.8
SE,10-12,1
SE,12-14,0.4
SE,14-16,0.1
SE,16+,0.1
SSE,2-4,1.1
SSE,4-6,2.2
SSE,6-8,1.2
SSE,8-10,2.3
SSE,10-12,1.3
SSE,12-14,0.3
SSE,14-16,0
SSE,16+,0
S,2-4,1.7
S,4-6,3.2
S,6-8,1.6
S,8-10,4.5
S,10-12,2.5
S,12-14,1.2
S,14-16,0.1
S,16+,0
SSW,2-4,0.5
SSW,4-6,0.6
SSW,6-8,0.3
SSW,8-10,0.8
SSW,10-12,0.6
SSW,12-14,0.4
SSW,14-16,0
SSW,16+,0
SW,2-4,0.5
SW,4-6,0.5
SW,6-8,0
SW,8-10,0.3
SW,10-12,0.2
SW,12-14,0.1
SW,14-16,0
SW,16+,0
WSW,2-4,0.6
WSW,4-6,0.6
WSW,6-8,0.3
WSW,8-10,0.2
WSW,10-12,0.2
WSW,12-14,0.1
WSW,14-16,0
WSW,16+,0
W,2-4,0.9
W,4-6,0.9
W,6-8,0.3
W,8-10,0.6
W,10-12,0.3
W,12-14,0.1
W,14-16,0
W,16+,0.1
WNW,2-4,0.5
WNW,4-6,0.9
WNW,6-8,0.1
WNW,8-10,0.4
WNW,10-12,0.1
WNW,12-14,0.1
WNW,14-16,0
WNW,16+,0
NW,2-4,0.7
NW,4-6,0.9
NW,6-8,0.4
NW,8-10,0.3
NW,10-12,0.2
NW,12-14,0.1
NW,14-16,0.1
NW,16+,0.3
NNW,2-4,1
NNW,4-6,1
NNW,6-8,0.4
NNW,8-10,0.5
NNW,10-12,0.3
NNW,12-14,0.3
NNW,14-16,0.1
NNW,16+,1
